net,length_um
_0599_,27.08
_0305_,27
rf_inst.registers\[10\]\[6\],26.9
_0438_,26.88
_0367_,26.86
_0328_,26.82
_0319_,26.8
_0335_,26.755
rf_inst.registers\[5\]\[24\],26.44
rf_inst.registers\[10\]\[23\],26.26
_0620_,26.16
_0318_,26.065
_0346_,25.96
rf_inst.registers\[5\]\[11\],25.78
_0537_,25.75
_0304_,25.7
_0320_,25.64
rf_inst.registers\[25\]\[11\],25.48
_0563_,25.46
rf_inst.registers\[10\]\[16\],25.26
rf_inst.registers\[25\]\[14\],25.26
rf_inst.registers\[30\]\[2\],25.105
rf_inst.registers\[25\]\[15\],24.86
_0383_,24.72
_0547_,24.7
_0745_,24.69
_0755_,24.44
rf_inst.registers\[10\]\[29\],24.44
_0756_,23.68
_0493_,23.56
_0654_,23.5
_0558_,23.36
_0610_,23.36
_0414_,23.3
_0503_,23.22
rf_inst.registers\[10\]\[2\],23.08
rf_inst.registers\[30\]\[26\],22.78
rf_inst.registers\[10\]\[13\],22.74
_0303_,22.72
rf_inst.registers\[10\]\[26\],22.62
_0541_,22.4
_0375_,22.34
_0800_,22.34
_0674_,22.3
_0588_,22.14
rf_inst.registers\[5\]\[17\],21.96
_0605_,21.94
_0334_,21.92
rf_inst.registers\[10\]\[31\],21.88
_0391_,21.82
rf_inst.registers\[5\]\[27\],21.82
rf_inst.registers\[10\]\[12\],21.76
_0451_,21.68
rf_inst.registers\[10\]\[30\],21.68
_0614_,21.6
_0357_,21.54
_0544_,21.54
_0550_,21.53
net36,21.46
_0377_,21.42
rf_inst.registers\[10\]\[28\],21.32
_0661_,21.26
_0609_,21.24
_0584_,21.1
_0352_,21.04
_0332_,21.02
_0457_,20.98
_0372_,20.9
_0504_,20.8
_0482_,20.78
rf_inst.registers\[5\]\[16\],20.66
_0477_,20.62
rf_inst.registers\[25\]\[13\],20.54
rf_inst.registers\[10\]\[0\],20.46
_0463_,20.4
_0530_,20.26
rf_inst.registers\[5\]\[14\],20.24
_0428_,20.18
_0373_,20.08
_0365_,20.06
_0310_,19.98
_0652_,19.88
rf_inst.registers\[30\]\[0\],19.865
_0638_,19.82
_0432_,19.66
rf_inst.registers\[10\]\[24\],19.54
rf_inst.registers\[5\]\[12\],19.48
_0534_,19.43
_0720_,19.4
_0536_,19.2
_0701_,18.98
_0452_,18.92
_0616_,18.92
_0323_,18.88
_0350_,18.84
_0533_,18.74
_0497_,18.66
net59,18.56
_0490_,18.54
_0498_,18.46
_0514_,18.42
rf_inst.registers\[5\]\[9\],18.32
_0767_,18.26
rf_inst.registers\[5\]\[25\],18.2
_0608_,17.98
_0288_,17.96
_0299_,17.82
rf_inst.registers\[5\]\[18\],17.82
rf_inst.registers\[10\]\[4\],17.8
rf_inst.registers\[10\]\[3\],17.62
_0526_,17.54
_0301_,17.48
_0546_,17.38
_0631_,17.22
_0690_,17.1
_0356_,17.02
rf_inst.registers\[25\]\[16\],17.02
_0671_,16.98
_0476_,16.94
_0341_,16.84
_0617_,16.8
_0495_,16.76
rf_inst.registers\[25\]\[27\],16.72
_0593_,16.68
rf_inst.registers\[10\]\[18\],16.68
_0349_,16.66
_0347_,16.62
_0653_,16.62
rf_inst.registers\[25\]\[19\],16.44
_0604_,16.4
_0523_,16.3
rf_inst.registers\[10\]\[1\],16.14
_0388_,16.1
_0718_,15.94
_0757_,15.94
_0313_,15.88
_0344_,15.84
_0613_,15.84
_0445_,15.82
_0576_,15.76
_0650_,15.76
_0561_,15.6
_0662_,15.6
_0478_,15.58
_0799_,15.56
_0348_,15.52
_0656_,15.44
_0366_,15.4
_0741_,15.305
_0583_,15.3
_0667_,15.1
rf_inst.registers\[10\]\[20\],15.02
_0505_,14.92
_0606_,14.92
_0618_,14.86
_0519_,14.84
_0666_,14.81
_0483_,14.8
_0622_,14.8
_0715_,14.72
rf_inst.registers\[5\]\[28\],14.56
rf_inst.registers\[25\]\[25\],14.5
rf_inst.registers\[25\]\[5\],14.48
_0269_,14.44
_0407_,14.44
_0389_,14.26
_0710_,14.24
_0387_,14.18
_0378_,14.16
_0636_,14.1
_0554_,14.06
_0696_,14.06
_0670_,13.84
rf_inst.registers\[25\]\[6\],13.76
_0322_,13.72
_0540_,13.66
_0839_,13.58
_0462_,13.5
_0488_,13.42
_0673_,13.42
_0481_,13.395
_0649_,13.32
rf_inst.registers\[25\]\[24\],13.22
rf_inst.registers\[25\]\[26\],13.12
_0560_,13.08
_0385_,13.04
_0695_,13.04
_0487_,13
_0692_,12.82
rf_inst.registers\[30\]\[24\],12.805
_0704_,12.8
_0711_,12.8
_0725_,12.72
_0460_,12.7
rf_inst.registers\[25\]\[10\],12.66
_0415_,12.64
_0330_,12.6
_0542_,12.59
_0625_,12.58
rf_inst.registers\[30\]\[10\],12.56
net43,12.48
_0812_,12.42
_0342_,12.38
_0266_,12.26
rf_inst.registers\[25\]\[3\],12.24
_0345_,12.06
_0307_,12.04
net42,12.015
_0621_,11.88
_0641_,11.88
rf_inst.registers\[25\]\[12\],11.84
_0433_,11.835
_0562_,11.72
_0657_,11.7
_0559_,11.68
rf_inst.registers\[10\]\[15\],11.66
_0672_,11.65
_0552_,11.64
_0717_,11.54
_0567_,11.46
_0676_,11.42
rf_inst.registers\[30\]\[8\],11.42
_0709_,11.36
_0500_,11.3
_0660_,11.28
_0852_,11.26
result[23],11.26
result[24],11.26
rf_inst.registers\[30\]\[18\],11.26
_0688_,11.22
rf_inst.registers\[30\]\[15\],11.12
_0360_,11.1
_0706_,11.1
_0355_,11.08
_0520_,11.04
_0779_,10.88
rf_inst.registers\[25\]\[18\],10.88
rf_inst.registers\[25\]\[4\],10.88
_0486_,10.84
_0413_,10.78
_0529_,10.78
_0371_,10.76
_0467_,10.76
_0368_,10.72
_0678_,10.66
_0810_,10.66
_0198_,10.58
_0553_,10.52
rf_inst.registers\[5\]\[13\],10.48
rf_inst.registers\[25\]\[9\],10.4
_0448_,10.28
_0658_,10.28
_0738_,10.24
rf_inst.registers\[5\]\[29\],10.24
_0435_,10.2
net131,10.2
_0333_,10.14
_0831_,10.135
_0651_,10.12
rf_inst.registers\[25\]\[31\],10.08
rf_inst.registers\[10\]\[21\],10.02
rf_inst.registers\[25\]\[2\],9.98
_0781_,9.88
_0515_,9.84
_0531_,9.82
_0949_,9.82
_0532_,9.78
_0607_,9.76
_0508_,9.7
rf_inst.registers\[30\]\[23\],9.68
_0545_,9.64
_0665_,9.64
net34,9.62
_0513_,9.54
_0669_,9.52
_0951_,9.52
_0399_,9.48
_0885_,9.48
_0458_,9.42
_0480_,9.36
_0630_,9.36
_0353_,9.28
rf_inst.registers\[30\]\[17\],9.28
_0453_,9.16
net51,9.12
rf_inst.registers\[30\]\[21\],9.08
_0791_,9.06
_0719_,9.045
_0680_,9.04
_0811_,9.04
_0336_,8.98
_0945_,8.96
result[22],8.96
result[27],8.96
net115,8.94
net45,8.86
_0919_,8.82
_0417_,8.8
control,8.72
_0082_,8.7
_0464_,8.7
_0578_,8.66
rf_inst.registers\[5\]\[5\],8.64
_0188_,8.62
net127,8.6
rf_inst.registers\[30\]\[29\],8.58
_0339_,8.56
_0948_,8.56
_0698_,8.52
_0845_,8.5
result[1],8.5
result[25],8.5
result[26],8.5
_0229_,8.46
_0300_,8.44
_0733_,8.44
_0485_,8.32
rf_inst.registers\[30\]\[19\],8.32
_0203_,8.305
_0640_,8.28
_0623_,8.26
net46,8.23
_0817_,8.18
_0804_,8.16
rf_inst.registers\[25\]\[0\],8.14
rf_inst.registers\[25\]\[29\],8.12
rf_inst.registers\[25\]\[8\],8.12
_0634_,8.1
_0097_,8.09
_0359_,8.06
_0926_,8.02
net126,8.02
_0843_,8
_0597_,7.98
_0423_,7.975
_0797_,7.94
_0592_,7.9
rf_inst.registers\[25\]\[22\],7.9
_0502_,7.86
rf_inst.registers\[30\]\[4\],7.86
_0160_,7.82
_0161_,7.82
_0162_,7.82
_0749_,7.81
_0496_,7.78
rf_inst.registers\[25\]\[30\],7.78
_0518_,7.74
_0494_,7.7
_0921_,7.68
_0455_,7.64
_0461_,7.64
_0645_,7.64
_0694_,7.64
_0920_,7.64
rf_inst.registers\[25\]\[20\],7.58
rf_inst.registers\[30\]\[6\],7.58
_0033_,7.56
_0888_,7.56
rf_inst.registers\[25\]\[21\],7.56
net147,7.56
rf_inst.registers\[30\]\[30\],7.545
_0891_,7.52
_0946_,7.52
_0397_,7.5
_0826_,7.44
rf_inst.registers\[30\]\[28\],7.325
rf_inst.registers\[25\]\[1\],7.24
rf_inst.registers\[30\]\[25\],7.24
_0522_,7.22
net146,7.22
_0400_,7.2
_0761_,7.18
result[19],7.13
_0568_,7.12
_0471_,7.1
_0748_,7.1
_0886_,7.1
_0947_,7.1
rf_inst.registers\[30\]\[12\],7.085
_0927_,7.06
rf_inst.registers\[30\]\[9\],7.06
rf_inst.registers\[5\]\[19\],7.06
net83,7
rf_inst.registers\[30\]\[20\],6.98
net67,6.98
_0611_,6.96
result[31],6.89
net73,6.88
net84,6.88
net88,6.88
_0439_,6.86
result[18],6.79
_0619_,6.78
_0178_,6.76
_0960_,6.76
net143,6.76
rf_inst.registers\[30\]\[1\],6.75
_0418_,6.74
_0381_,6.72
rf_inst.registers\[30\]\[22\],6.72
net52,6.66
_0473_,6.64
net61,6.64
_0813_,6.6
_0828_,6.6
_0873_,6.6
_0905_,6.6
_0933_,6.6
_0944_,6.6
_0145_,6.48
